"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","line","word","char_trial","char_line","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","regress","wordID","land_pos","sacc_len","outsideText","max_char_line","Rtn_sweep","Rtn_sweep_type","LandStartLet","LandStartVA","undersweep_prob","launchDistLet","launchDistVA","launchSite","launchSiteVA"
"11302",6,6,3,59,17308563,17308682,254.6,573.6,13,119,68,2,16,92,5,82,1,1173,200,529,87,0,"because",5,77,0,53,1,"undersweep",5,1.34392085843111,1,77,22.605438028995,5,1.74758939466316
"11319",6,32,1,60,17320259,17320592,207.1,562.8,9,333,51,2,12,56,1,49,10,784.6,313.8,532,55,0,"spent",1,48,0,46,1,"accurate",1,0.174758939466316,0,48,14.2145475410982,6,1.855890709262
"11340",6,22,3,61,17334116,17334243,261.2,562.1,16,127,69,2,20,95,6,84,1,1201.1,202.5,529.7,89,0,"to",2,78,0,36,1,"undersweep",6,1.50637283032937,1,78,23.1346376344212,5,1.64667226060515
"11352",6,60,1,62,17343760,17344089,197.9,575.7,7,329,51,2,NA,NA,NA,48,12,767.3,332.1,536.1,55,NA,NA,NA,NA,1,38,1,"accurate",NA,-0.0516892637858116,0,NA,14.0151746664958,7,2.28171178711655
"11365",6,90,3,63,17350135,17350374,198.7,553.7,10,239,71,2,NA,NA,NA,81,10,1168.7,310.8,523.5,88,NA,NA,NA,NA,1,53,1,"accurate",NA,-0.0319981156769314,0,NA,23.8755170820178,7,2.1487965373816
"11386",6,66,3,64,17361086,17361215,237,582.8,15,129,68,2,17,92,4,85,NA,1213.2,196.7,527.6,88,0,"only",4,81,0,66,1,"undersweep",4,0.910715600035731,1,81,24.0281234798617,3,1.05347642382512
"11408",6,14,3,65,17375346,17375487,236.6,567.4,15,141,71,2,19,91,4,80,NA,1157.2,181.5,527.5,87,0,"had",0,76,0,56,1,"undersweep",4,0.900870025981291,1,76,22.6595886862944,7,2.13648956981355
"11423",6,76,1,66,17385639,17385965,209.1,562.1,9,326,51,2,3,56,1,50,15,789.2,368.4,534.6,55,0,"on",1,49,0,36,1,"accurate",1,0.223986809738518,0,49,14.2785437724521,5,1.74266660763594
"11439",6,84,1,67,17395239,17395505,220.2,567.5,12,266,51,2,13,57,2,50,11,793.2,323.4,537.5,55,0,"of",2,48,0,85,1,"accurate",2,0.497201489749237,0,48,14.1037848329858,5,1.64421086709154
"11455",6,56,1,68,17405782,17406023,185.7,552.8,8,241,56,2,NA,NA,NA,48,7,769,279.9,538.7,54,NA,NA,NA,NA,1,35,1,"accurate",NA,-0.351979272446242,0,NA,14.3573083648876,6,1.94450087575197
"13100",6,34,3,69,17417401,17417679,219.1,559.6,12,278,73,2,15,90,2,81,11,1168.6,324.9,523.4,88,0,"who",2,79,0,55,1,"accurate",2,0.470126161099526,0,79,23.3709314117278,7,2.15125793089522
"16101",6,82,3,70,17429128,17429272,292.6,578.2,16,144,70,2,16,95,8,83,3,1184.4,229.8,531.7,87,0,"and",0,75,0,42,1,"undersweep",8,2.27925039360294,1,75,21.9507073543747,4,1.46699053411161
"18102",6,94,3,71,17440694,17440981,224.4,572.9,18,287,74,2,20,92,3,82,12,1181.6,336.2,536.5,89,0,"running",0,79,0,50,1,"accurate",3,0.600580017320861,0,79,23.5604587122757,7,2.12664399575912
"81003",6,28,1,72,17446907,17447141,207.5,565.4,8,234,48,2,11,55,1,47,NA,753,185.7,540.8,54,0,"overseas,",1,46,0,70,1,"undersweep",1,0.184604513520756,1,46,13.426901616743,7,2.33832383792958
"11468",6,92,1,73,17461101,17461269,233.4,562.6,11,168,51,2,11,57,3,46,2,750.5,217.2,542,54,0,"the",3,43,0,51,1,"undersweep",3,0.822105433545768,1,43,12.7278658588777,8,2.39985867576983
"101005",6,16,1,74,17472343,17472645,202.1,564.9,10,302,61,2,11,55,1,50,13,787.5,351.9,540.2,54,0,"she",1,49,0,75,1,"accurate",1,0.0516892637858116,0,49,14.4089976286734,4,1.4891430757341
"14106",6,10,3,75,17487426,17487582,232.5,575.7,14,156,71,2,18,92,3,84,1,1203.4,202.1,533.7,89,0,"near",3,81,0,45,1,"undersweep",3,0.799952891923278,1,81,23.8976696236403,5,1.59006020979211
"81007",6,96,1,76,17498203,17498472,193.1,558.6,8,269,53,2,NA,NA,NA,46,7,748.6,282.5,535.9,55,NA,NA,NA,NA,1,45,1,"accurate",NA,-0.169836152439096,0,NA,13.673040968104,9,2.74199237416163
"16107",6,58,3,77,17509018,17509267,190.7,587.6,16,249,75,2,NA,NA,NA,83,4,1190.4,246.9,526.7,88,NA,NA,NA,NA,1,45,1,"accurate",NA,-0.228909596765738,0,NA,24.60655095556,5,1.61467414492821
"16108",6,42,3,78,17521602,17521719,258.2,573.6,16,117,72,2,17,94,5,85,NA,1207.6,194.4,531.8,89,0,"arrived",5,80,0,41,1,"undersweep",5,1.43253102492107,1,80,23.3684700182141,4,1.48668168222049
"13110",6,50,3,79,17530360,17530489,220.8,559.8,13,129,70,2,18,89,2,81,NA,1167.8,177.7,525.8,87,0,"year",2,79,0,59,1,"undersweep",2,0.511969850830898,1,79,23.3093965738875,6,1.87558185737089
"12111",6,74,3,80,17541043,17541167,219.5,554.1,12,124,72,2,15,90,2,82,NA,1180.1,186,520.3,88,0,"big",0,80,0,54,1,"undersweep",2,0.479971735153967,1,80,23.6441460917385,6,1.86819767683006
"13112",6,62,3,81,17550330,17550463,254.8,566.3,13,133,72,2,17,92,5,78,NA,1127.6,191.5,532.2,87,0,"she",0,73,0,37,1,"undersweep",5,1.34884364545833,1,73,21.4830425867888,9,2.86506204984214
"12113",6,98,3,82,17562064,17562193,239.6,564.3,12,129,64,2,16,93,4,81,NA,1169.1,187.9,529.4,89,0,"playing",4,77,0,36,1,"undersweep",4,0.974711831389593,1,77,22.8786527090057,8,2.43431818496038
"14113",6,54,3,83,17572805,17573169,197.1,569.1,14,364,78,2,NA,NA,NA,83,7,1185.2,278.3,529.2,88,NA,NA,NA,NA,1,42,1,"accurate",NA,-0.0713804118946926,0,NA,24.3210293079812,5,1.74266660763594
"91015",6,100,1,84,17580905,17581051,233.3,575.4,9,146,50,2,12,56,3,47,1,757.6,207.9,555.2,53,0,"served",3,44,0,52,1,"undersweep",3,0.819644040032159,1,44,12.9050861918577,6,1.92973251467031
"101016",6,52,1,85,17592000,17592260,188.9,562.2,10,260,49,2,NA,NA,NA,46,9,741.9,299.9,541.2,53,NA,NA,NA,NA,1,68,1,"accurate",NA,-0.273214680010719,0,NA,13.6115061302638,7,2.31617129630709
"11494",6,86,3,86,17601199,17601435,208.8,568.6,11,236,81,2,18,88,1,79,12,1145.4,340.5,529.6,87,0,"the",1,78,0,43,1,"accurate",1,0.216602629197688,0,78,23.0534116484721,8,2.42693400441954
"12118",6,38,3,87,17610871,17610985,227.2,551.4,12,114,74,2,20,91,3,82,NA,1173,180.3,532.5,88,0,"the",0,79,0,49,1,"undersweep",3,0.669499035701943,1,79,23.2798598517242,6,2.04295661629637
"11498",6,88,1,88,17621488,17621612,235.6,549.4,11,124,52,2,10,57,4,46,NA,749.9,186,543.1,53,0,"hope",4,42,0,56,1,"undersweep",4,0.87625609084519,1,42,12.6589468404967,7,2.11925981521828
"12120",6,30,3,89,17632919,17633063,269.3,561.9,12,144,71,2,16,94,6,86,2,1220.4,215.9,531.6,88,0,"during",6,80,0,40,1,"undersweep",6,1.70574570493179,1,80,23.4103137079455,2,0.876256090845188
"14120",6,2,3,90,17647345,17647567,227.2,563,14,222,74,2,15,92,3,84,1,1198.7,202.2,524,89,0,"son",3,81,0,42,1,"undersweep",3,0.669499035701943,1,81,23.912437984722,5,1.70574570493179
"91022",6,72,1,91,17660221,17660485,218.5,555.7,9,264,51,2,10,57,2,52,11,817.8,328.2,528.3,55,0,"fluently,",2,50,0,87,1,"accurate",2,0.455357800017866,0,50,14.7511313270652,3,1.03870806274346
"16121",6,46,3,92,17670480,17670612,247.7,566.5,16,132,72,2,16,93,5,84,1,1198.6,205.6,535.9,88,0,"protect",1,79,0,51,1,"undersweep",5,1.17408470599201,1,79,23.4053909209183,4,1.41283987681219
